時間,設備,值
2024-10-19 10:36:34,SA-39/LED_LEVEL,8
2024-10-19 10:36:38,SA-39/LED_LEVEL,9
2024-10-19 10:36:38,SA-39/LED_LEVEL,10
2024-10-19 10:36:39,SA-39/LED_LEVEL,9
2024-10-19 10:36:41,SA-39/LED_LEVEL,8
2024-10-19 10:38:11,SA-39/LED_LEVEL,8
2024-10-19 10:38:16,SA-39/LED_LEVEL,10
2024-10-19 10:38:18,SA-39/LED_LEVEL,8
2024-10-19 10:38:19,SA-39/LED_LEVEL,6
2024-10-19 10:38:20,SA-39/LED_LEVEL,7
2024-10-19 10:38:21,SA-39/LED_LEVEL,9
2024-10-19 10:38:21,SA-39/LED_LEVEL,10
2024-10-19 10:38:22,SA-39/LED_LEVEL,9
2024-10-19 10:38:22,SA-39/LED_LEVEL,8
2024-10-19 10:42:56,SA-39/LED_LEVEL,9
2024-10-19 10:42:58,SA-39/LED_LEVEL,8
2024-10-19 10:42:59,SA-39/LED_LEVEL,9
2024-10-19 10:43:00,SA-39/LED_LEVEL,10
2024-10-19 10:43:01,SA-39/LED_LEVEL,9
2024-10-19 10:43:02,SA-39/LED_LEVEL,7
2024-10-19 10:43:02,SA-39/LED_LEVEL,6
2024-10-19 10:43:04,SA-39/LED_LEVEL,3
2024-10-19 10:43:05,SA-39/LED_LEVEL,1
2024-10-19 10:43:05,SA-39/LED_LEVEL,0
2024-10-19 10:43:07,SA-39/LED_LEVEL,3
2024-10-19 10:43:07,SA-39/LED_LEVEL,4
2024-10-19 10:43:08,SA-39/LED_LEVEL,7
2024-10-19 10:43:09,SA-39/LED_LEVEL,8
2024-10-19 10:43:10,SA-39/LED_LEVEL,9
2024-10-19 11:58:32,SA-39/LED_LEVEL,7
2024-10-19 11:58:36,SA-39/LED_LEVEL,8
2024-10-19 11:58:37,SA-39/LED_LEVEL,9
2024-10-19 11:58:37,SA-39/LED_LEVEL,10
2024-10-19 11:58:38,SA-39/LED_LEVEL,8
2024-10-19 11:58:39,SA-39/LED_LEVEL,7
2024-10-19 11:58:39,SA-39/LED_LEVEL,6
2024-10-19 11:58:40,SA-39/LED_LEVEL,7
2024-10-19 11:58:40,SA-39/LED_LEVEL,9
